ID,Match,Goal,Assist,Apoint,PlayingTime,YellowCard,Salary
ANAM101,22,9,7,16,32.2,0,68000000
ANAM102,22,18,17,35,34.4,3,49000000
ANAM103,24,3,3,6,32.3,1,77000000
ANAM104,30,14,19,33,32.5,7,83000000
ANAM105,21,20,18,38,44.8,3,34000000
ANAM106,20,4,19,23,45.5,0,30000000
ANAM107,25,16,0,16,52.3,6,76000000
ANAM108,21,11,7,18,43.7,7,43000000
ANAM109,29,20,5,25,35.4,1,41000000
ANAM110,27,1,12,13,68.8,5,71000000
ANAM111,20,20,17,37,69.4,3,63000000
ANAM112,23,12,7,19,44.3,6,34000000
ANAM113,30,6,16,22,57,1,50000000
ANAM114,24,11,18,29,62,7,86000000
ANAM115,22,5,8,13,61.7,1,79000000
ANAM116,23,3,10,13,62.1,6,50000000
ANAM117,23,0,0,0,52.7,3,69000000
ANAM118,27,6,1,7,42.6,6,52000000
